Quantity,Price Per Unit,Item_encoded,Payment Method_encoded,Total Spent
4.0,1.0,2.0,1.0,4.0
1.0,3.0,3.0,2.0,3.0
5.0,2.951765668849392,5.0,2.0,14.75882834424696
3.029845546394147,5.0,4.0,3.0,15.149227731970736
5.0,4.0,5.0,0.0,20.0
2.0,2.0,1.0,0.0,4.0
4.0,3.0,0.0,0.0,12.0
2.0,4.0,6.0,2.0,8.0
4.0,2.0,1.0,2.0,8.0
5.0,1.5,7.0,3.0,7.5
3.029845546394147,2.0,1.0,1.0,6.059691092788294
3.0,1.5,7.0,2.0,4.5
2.0,2.0,1.0,3.0,4.0
3.0,3.0,0.0,2.0,9.0
1.0,4.0,5.0,2.0,4.0
3.029845546394147,3.0,0.0,3.0,9.08953663918244
5.0,3.0,3.0,2.0,15.0
5.0,2.0,1.0,2.0,10.0
2.0,5.0,4.0,2.0,10.0
2.0,3.0,0.0,0.0,6.0
1.0,4.0,6.0,3.0,4.0
2.0,4.0,6.0,3.0,8.0
4.0,1.0,2.0,2.0,4.0
1.0,1.5,7.0,3.0,1.5
5.0,4.0,5.0,1.0,20.0
5.0,4.0,5.0,1.0,20.0
5.0,1.0,2.0,1.0,5.0
1.0,1.5,7.0,3.0,1.5
1.0,3.0,0.0,1.0,3.0
3.029845546394147,1.0,2.0,3.0,3.029845546394147
3.029845546394147,4.0,6.0,0.0,12.119382185576589
3.0,2.0,1.0,3.0,6.0
5.0,1.5,7.0,3.0,7.5
2.0,5.0,4.0,0.0,10.0
4.0,3.0,0.0,0.0,12.0
4.0,4.0,5.0,0.0,16.0
2.0,5.0,4.0,3.0,10.0
2.0,4.0,5.0,1.0,8.0
2.0,3.0,0.0,3.0,6.0
2.0,3.0,0.0,3.0,6.0
2.0,1.0,2.0,1.0,2.0
3.029845546394147,4.0,6.0,0.0,12.119382185576589
3.0,4.0,6.0,3.0,12.0
4.0,3.0,3.0,0.0,12.0
5.0,3.0,0.0,1.0,15.0
1.0,1.0,2.0,3.0,1.0
5.0,5.0,4.0,3.0,25.0
1.0,3.0,3.0,3.0,3.0
2.0,4.0,5.0,1.0,8.0
5.0,3.0,0.0,0.0,15.0
